example ID,text,respondent,sex,year of birth,language,language group,education,comments,non-standard government,selecting predicate,type of speaker,context type,toponym/year,initial phoneme,omitted,preposition,preposition_eng,PP
1265,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,,,other,,consonant,,у,u 'at',У нас
1266,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,,,other,,consonant,,в,v 'in(to)',в границах
1267,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,в расшифровке предлог опущен,,,,other,,vowel,,в,v 'in(to)',в общем
1368,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,spatial,toponym,vowel,да,в,v 'in(to)',Арчибе
1268,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,общались,,other,,consonant,,с,s ‘with/from/off’,со всеми
1269,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,разговаривать,,other,,consonant,,с,s ‘with/from/off’,с каким-то парнем
1270,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,сидеть,,other,,consonant,,с,s ‘with/from/off’,с ним
1271,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,разговаривать,,other,,consonant,,с,s ‘with/from/off’,с другими
1272,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,,,other,,vowel,,от,ot 'from',от этого
1273,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,разговаривать,,other,,consonant,,с,s ‘with/from/off’,с парнем
1274,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,,,spatial/temporal,institution,consonant,,в,v 'in(to)',В школе
1370,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,spatial,toponym,vowel,да,в,v 'in(to)',Арчиб
1372,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,spatial,toponym,vowel,,в,v 'in(to)',В Арчибе
1275,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,в расшифровке предлог опущен,,,,spatial,toponym,consonant,,в,v 'in(to)',Махачкалу
1276,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,замуж выйду,,other,,vowel,,за,za 'behind; for',За этого
1277,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,,,other,,vowel,,за,za 'behind; for',За этого
1373,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,spatial,toponym,vowel,,в,v 'in(to)',В Арчибе
1374,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,spatial,,consonant,,в,v 'in(to)',Во всем районе
1375,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,spatial/temporal,institution,consonant,,в,v 'in(to)',в средней школе
1278,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,старше,,other,,consonant,,на,na 'on(to)',На 12 лет
1376,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,spatial,toponym,vowel,,в,v 'in(to)',в Арчибе
1279,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,в расшифровке предлог опущен,,,,spatial,toponym,consonant,,в,v 'in(to)',Дусрахе
1280,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',Дусрахе
1281,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',Дусрах
1388,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,spatial/temporal,,consonant,,в,v 'in(to)',в классе
1391,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,spatial,toponym,vowel,,в,v 'in(to)',В Арчибе
122,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,spatial,,vowel,да,в,v 'in(to)',в окопах
1282,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,,,temporal,,vowel,,после,posle 'after',после этого
1283,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,,,spatial,toponym,consonant,,в,v 'in(to)',в Ленинград
1394,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,в расшифровке есть,,,,spatial,toponym,consonant,да,в,v 'in(to)',в Махачкале
1284,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,,,other,,consonant,,у,u 'at',у меня
1285,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,,,temporal,,vowel,,после,posle 'after',после этого
1286,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,поговорите,,other,,consonant,,с,s ‘with/from/off’,с сестрой
1287,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',Ленинграде
1288,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,,,spatial/temporal,institution,consonant,,в,v 'in(to)',в школе
1289,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',Дусрахе
1309,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,на,na 'on(to)',На соболезнования
1290,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,выдали,,other,,consonant,,за,za 'behind; for',за тот образ
1301,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,13:27,,,,other,,consonant,,у,u 'at',у нас
1302,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,у,u 'at',у нас
1303,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,без,bez 'without',без мужа
1400,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,37:18:00,,,,spatial,toponym,vowel,,в,v 'in(to)',в Арчибе
1305,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,у,u 'at',у них
1306,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,выйти,,other,,consonant,,за,za 'behind; for',за него
1307,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,выдали,,other,,vowel,,за,za 'behind; for',за этого
1308,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,у,u 'at',у нас
1310,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,на,na 'on(to)',на свадьбу
1346,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,говорить,,other,,consonant,,на,na 'on(to)',на своем языке
1311,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,у,u 'at',у нас
1405,2012-Jangikent-5,yangikent.янгикент.38.,m,1937,Kumyk,Turkic,higher education,,,работала,,spatial,institution,consonant,да,в,v 'in(to)',в колхозе
1313,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,у,u 'at',у нас
1314,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,у,u 'at',у нас
1315,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,15:10,,вышла замуж,,other,,consonant,,за,za 'behind; for',за читтабца
1316,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,по,po 'along/about/up to',По любви
1291,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,выдали,,other,,consonant,,за,za 'behind; for',за того человека
1409,2012-Jangikent-5,yangikent.янгикент.38.,m,1937,Kumyk,Turkic,higher education,,,,,spatial,toponym,consonant,,в,v 'in(to)',в Дагестане
1414,2012-Jangikent-5,yangikent.янгикент.38.,m,1937,Kumyk,Turkic,higher education,,,,,spatial,institution,consonant,,в,v 'in(to)',в школу
1417,2012-Jangikent-5,yangikent.янгикент.38.,m,1937,Kumyk,Turkic,higher education,,,,,spatial,,consonant,,в,v 'in(to)',в стране
1321,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,20:00,,,,other,,consonant,,у,u 'at',у них
1420,2012-Jangikent-5,yangikent.янгикент.38.,m,1937,Kumyk,Turkic,higher education,,,,,spatial,toponym,consonant,,в,v 'in(to)',в Советском Союзе
1421,2012-Jangikent-5,yangikent.янгикент.38.,m,1937,Kumyk,Turkic,higher education,,,,,spatial,toponym,consonant,,в,v 'in(to)',в Советском Союзе
1422,2012-Jangikent-5,yangikent.янгикент.38.,m,1937,Kumyk,Turkic,higher education,в расшифровке предлог опущен,,обучали,,spatial,institution,consonant,,в,v 'in(to)',в ликпунктах
1423,2012-Jangikent-5,yangikent.янгикент.38.,m,1937,Kumyk,Turkic,higher education,,,,,spatial,institution,consonant,,в,v 'in(to)',в светской школе
1326,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,у,u 'at',у нас
1327,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,да,,,other,,vowel,,по,po 'along/about/up to',по отца стороны
1328,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,выдать,,other,,consonant,,за,za 'behind; for',За него
1329,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,за,za 'behind; for',За него
1182,2010-Archib-3,archib.арчиб.syn-114,f,1946,Archi,Lezgic,higher education,,,,,spatial/temporal,,consonant,,на,na 'on(to)',на свадьбах
1331,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,у,u 'at',у них
1332,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,у,u 'at',у них
944,2016-Kina-5,kina.кина.нд40,m,1950,Rutul,Lezgic,higher education,,,договор заключил,all prepositions,other,,consonant,да,с,s ‘with/from/off’,мелкомбинатом
1334,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,развелась с,да,вышла,,other,,consonant,,от,ot 'from',От двоих
1292,2010-Archib-4,archib.арчиб.add.syn-2,f,1970,Archi,Lezgic,secondary education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',Ленинграде
1426,2012-Jangikent-5,yangikent.янгикент.38.,m,1937,Kumyk,Turkic,higher education,,,учиться,,spatial,toponym,consonant,да,в,v 'in(to)',в Буйнакске
1337,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,у,u 'at',у них
1338,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,у,u 'at',у них
1339,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,у,u 'at',у него
1340,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,36:05:00,,,,other,,consonant,,у,u 'at',У него
1341,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,от,ot 'from',От нее
1342,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,temporal,,consonant,,до,"do 'up to, until'",до смерти
1343,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,из-за,iz-za 'due to',"Из-за жадности, из-за этого"
1435,2012-Jangikent-5,yangikent.янгикент.38.,m,1937,Kumyk,Turkic,higher education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',в Белоруссии
